date,time_UTC,lat,lon,Dive
20160707,20:23:26.6939,38.868445,-67.95338,20160707_29
20160707,20:24:06.6960,38.870295,-67.952957,20160707_29
20160707,20:24:46.6470,38.872137,-67.952512,20160707_29
20160707,20:25:26.6989,38.873978,-67.952077,20160707_29
20160707,20:26:06.6509,38.875817,-67.951685,20160707_29
20160707,20:26:46.7020,38.877662,-67.951283,20160707_29
20160707,20:27:26.7049,38.879503,-67.950908,20160707_29
20160707,20:28:06.6539,38.881347,-67.950532,20160707_29
20160707,20:28:46.7059,38.883193,-67.950168,20160707_29
20160707,20:29:26.7080,38.885023,-67.949768,20160707_29
20160707,20:30:06.7090,38.886852,-67.949338,20160707_29
20160707,20:30:46.6599,38.888688,-67.948992,20160707_29
20160707,20:31:26.6620,38.890528,-67.948617,20160707_29
20160707,20:20:06.6869,38.859248,-67.95547,20160707_32
20160707,20:20:46.6380,38.861077,-67.955088,20160707_32
20160707,20:21:26.6899,38.862888,-67.954673,20160707_32
20160707,20:22:06.6909,38.864722,-67.954235,20160707_32
20160707,20:22:46.6430,38.866592,-67.95381,20160707_32
20160707,20:23:26.6939,38.868445,-67.95338,20160707_32
20160707,20:24:06.6960,38.870295,-67.952957,20160707_32
20160707,20:24:46.6470,38.872137,-67.952512,20160707_32
20160707,20:25:26.6989,38.873978,-67.952077,20160707_32
20160707,20:26:06.6509,38.875817,-67.951685,20160707_32
20160707,20:26:46.7020,38.877662,-67.951283,20160707_32
20160707,20:27:26.7049,38.879503,-67.950908,20160707_32
20160707,20:28:06.6539,38.881347,-67.950532,20160707_32
20160707,20:28:46.7059,38.883193,-67.950168,20160707_32
20160707,20:29:26.7080,38.885023,-67.949768,20160707_32
20160707,20:30:06.7090,38.886852,-67.949338,20160707_32
20160707,20:30:46.6599,38.888688,-67.948992,20160707_32
20160707,20:31:26.6620,38.890528,-67.948617,20160707_32
20160707,20:32:06.7129,38.892355,-67.948197,20160707_32
20160707,20:32:46.6649,38.893797,-67.946778,20160707_32
20160707,20:33:26.7180,38.894625,-67.94466,20160707_32
20160707,20:33:42.7180,38.894838,-67.943725,20160707_32
20160707,20:34:22.6680,38.89531,-67.941348,20160707_32
20160707,20:35:02.6189,38.895743,-67.938958,20160707_32
20160707,20:35:42.6710,38.896142,-67.936557,20160707_32
20160707,20:36:22.6720,38.896527,-67.934163,20160707_32
20160707,20:37:02.6240,38.896938,-67.931782,20160707_32
20160707,20:37:42.6750,38.897335,-67.929398,20160707_32
20160719,17:47:06.7369,39.666737,-70.474078,20160719_07
20160719,17:47:46.6889,39.668462,-70.473672,20160719_07
20160719,17:48:26.7399,39.670187,-70.473227,20160719_07
20160719,17:49:06.7920,39.671907,-70.472768,20160719_07
20160719,17:49:46.7930,39.673632,-70.47236,20160719_07
20160719,17:50:26.7440,39.675358,-70.471935,20160719_07
20160719,17:51:06.7960,39.677087,-70.471485,20160719_07
20160719,17:51:46.7490,39.67882,-70.471043,20160719_07
20160719,17:52:26.7500,39.680562,-70.470588,20160719_07
20160719,17:53:06.7510,39.682293,-70.470168,20160719_07
20160719,17:53:46.7570,39.684027,-70.469723,20160719_07
20160719,17:54:26.7540,39.68576,-70.469247,20160719_07
20160719,17:55:06.8070,39.687493,-70.468835,20160719_07
20160719,17:55:46.7080,39.689218,-70.468415,20160719_07
20160719,17:56:26.7590,39.690952,-70.467995,20160719_07
20160719,17:57:06.7600,39.692695,-70.467553,20160719_07
20160719,17:57:46.7129,39.694445,-70.467135,20160719_07
20160719,17:58:26.7639,39.696183,-70.466687,20160719_07
20160719,17:59:06.7649,39.697918,-70.466238,20160719_07
20160719,17:59:46.7170,39.699672,-70.465798,20160719_07
20160719,18:00:26.7680,39.701425,-70.465342,20160719_07
20160719,18:01:06.7689,39.703187,-70.464885,20160719_07
20160719,18:01:46.8220,39.704945,-70.464405,20160719_07
20160719,18:02:26.7729,39.706697,-70.463952,20160719_07
20160719,18:03:06.7740,39.70844,-70.463503,20160719_07
20160719,18:03:46.7270,39.710182,-70.463017,20160719_07
20160725,20:29:23.9499,41.664293,-65.510288,20160725_50
20160725,20:30:03.9099,41.666118,-65.510202,20160725_50
20160725,20:30:43.9619,41.667952,-65.510142,20160725_50
20160725,20:31:23.9139,41.669788,-65.510097,20160725_50
20160725,20:32:03.7789,41.671632,-65.510018,20160725_50
20160725,20:32:43.9670,41.673475,-65.509935,20160725_50
20160725,20:33:23.9619,41.675322,-65.509863,20160725_50
20160725,20:34:03.9200,41.677172,-65.509787,20160725_50
20160725,20:34:43.8379,41.679032,-65.509722,20160725_50
20160725,20:35:23.8300,41.680895,-65.509663,20160725_50
20160725,20:35:39.9449,41.68164,-65.509643,20160725_50
20160725,20:36:19.9420,41.683505,-65.509577,20160725_50
20160725,20:36:59.9020,41.685375,-65.509517,20160725_50
20160725,20:37:39.9510,41.687237,-65.509467,20160725_50
20160725,20:38:19.9449,41.689083,-65.509417,20160725_50
20160725,20:38:59.9070,41.690907,-65.509328,20160725_50
20160725,20:39:39.9520,41.692737,-65.50928,20160725_50
20160725,20:40:19.9099,41.694577,-65.509212,20160725_50
20160725,20:40:59.9510,41.696407,-65.50914,20160725_50
20160725,20:41:39.9569,41.698242,-65.50909,20160725_50
20160725,20:42:19.7800,41.700082,-65.509013,20160725_50
20160725,20:42:59.9549,41.70193,-65.508932,20160725_50
20160725,20:43:39.9629,41.703782,-65.508875,20160725_50
20160725,20:44:19.9580,41.705647,-65.508775,20160725_50
20160725,20:44:59.9190,41.707518,-65.508683,20160725_50
20160725,20:45:39.7930,41.7094,-65.508608,20160725_50
20160725,20:46:19.9629,41.711287,-65.508515,20160725_50
20160725,20:46:59.7920,41.713163,-65.508428,20160725_50
20160725,20:47:39.9289,41.715033,-65.508375,20160725_50
20160725,20:48:19.9670,41.716887,-65.508345,20160725_50
20160725,20:48:59.9320,41.718733,-65.508278,20160725_50
20160725,20:49:39.8439,41.720597,-65.508235,20160725_50
20160725,20:50:19.9299,41.722467,-65.50816,20160725_50
20160725,20:50:59.9750,41.724332,-65.50812,20160725_50
20160725,20:51:39.8460,41.72619,-65.50806,20160725_50
20160725,20:52:19.9350,41.728045,-65.507987,20160725_50
20160725,20:52:59.9369,41.729903,-65.507948,20160725_50
20160725,20:53:39.9869,41.731762,-65.507913,20160725_50
20160725,20:54:19.9410,41.73359,-65.507887,20160725_50
20160725,20:54:59.8489,41.735488,-65.507888,20160725_50
20160725,20:55:39.9859,41.737458,-65.50789,20160725_50
20160725,20:56:19.9449,41.739357,-65.507885,20160725_50
20160725,20:56:59.8540,41.741247,-65.507903,20160725_50
20160725,20:57:39.9920,41.743195,-65.507895,20160725_50
20160725,20:50:19.9299,41.722467,-65.50816,20160725_54
20160725,20:50:59.9750,41.724332,-65.50812,20160725_54
20160725,20:51:39.8460,41.72619,-65.50806,20160725_54
20160725,20:52:19.9350,41.728045,-65.507987,20160725_54
20160725,20:52:59.9369,41.729903,-65.507948,20160725_54
20160725,20:53:39.9869,41.731762,-65.507913,20160725_54
20160725,20:54:19.9410,41.73359,-65.507887,20160725_54
20160725,20:54:59.8489,41.735488,-65.507888,20160725_54
20160725,20:55:39.9859,41.737458,-65.50789,20160725_54
20160725,20:56:19.9449,41.739357,-65.507885,20160725_54
20160725,20:56:59.8540,41.741247,-65.507903,20160725_54
20160725,20:57:39.9920,41.743195,-65.507895,20160725_54
20160725,20:58:19.8160,41.745125,-65.50786,20160725_54
20160725,20:58:36.8809,41.745935,-65.507845,20160725_54
20160725,20:59:16.8329,41.747848,-65.507843,20160725_54
20160725,20:59:56.8839,41.749778,-65.507795,20160725_54
20160725,21:00:36.8850,41.751692,-65.507757,20160725_54
20160725,21:01:16.8369,41.753603,-65.50769,20160725_54
20160725,21:01:56.8379,41.755532,-65.507603,20160725_54
20160725,21:02:36.8400,41.757467,-65.507513,20160725_54
20160725,21:03:16.8419,41.759405,-65.507428,20160725_54
20160725,21:03:56.8920,41.761345,-65.507365,20160725_54
20160725,21:04:36.8940,41.76329,-65.507292,20160725_54
20160725,21:05:16.8460,41.765235,-65.507218,20160725_54
20160725,21:05:56.8969,41.767178,-65.507155,20160725_54
20160725,21:06:36.8979,41.769122,-65.507088,20160725_54
20160725,21:07:16.8509,41.77107,-65.506988,20160725_54
20160725,21:07:56.8520,41.773027,-65.50688,20160725_54
20160725,21:08:36.8540,41.774987,-65.506745,20160725_54
20160725,21:09:16.8560,41.776948,-65.50663,20160725_54
20160725,21:09:56.8569,41.77891,-65.506493,20160725_54
20160725,21:10:36.8579,41.780872,-65.506392,20160725_54
20160725,21:11:16.8600,41.782847,-65.50627,20160725_54
20160725,21:11:56.8620,41.78482,-65.506148,20160725_54
20160725,21:12:36.8630,41.786807,-65.50605,20160725_54
20160725,21:13:16.8140,41.788797,-65.505905,20160725_54
20160725,21:13:56.8660,41.790797,-65.505777,20160725_54
20160725,21:14:36.8670,41.792783,-65.505617,20160725_54
20160725,21:15:16.8189,41.794755,-65.505478,20160725_54
20160725,21:15:56.8710,41.796712,-65.505318,20160725_54
20160725,21:16:36.8720,41.79866,-65.505155,20160725_54
20160725,21:17:16.8230,41.800608,-65.504948,20160725_54
20160725,21:17:56.8749,41.802565,-65.504727,20160725_54
20160725,21:18:36.8769,41.80452,-65.504528,20160725_54
